model,imputation,fold,best_inner_auc,best_params
SVM (RBF),4,2,0.5765,"{""model__C"": ""0.5"", ""model__gamma"": ""0.3""}"
AdaBoost,4,2,0.4996,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,4,2,0.4622,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""3.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,4,2,0.453,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""1.0"", ""model__reg_lambda"": ""1.0"", ""model__num_leaves"": ""31"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""10"", ""model__max_depth"": ""-1"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),4,3,0.5406,"{""model__C"": ""1""}"
Elastic-Net Logistic,4,3,0.539,"{""model__C"": ""1.0"", ""model__l1_ratio"": ""0.15""}"
Random Forest,4,3,0.4649,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""5"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""None""}"
Extra Trees,4,3,0.5242,"{""model__n_estimators"": ""600"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),4,3,0.5382,"{""model__C"": ""3"", ""model__gamma"": ""0.01""}"
AdaBoost,4,3,0.5627,"{""model__n_estimators"": ""100"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""3""}"
XGBoost,4,3,0.5156,"{""model__subsample"": ""1.0"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""600"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""0.85""}"
LightGBM,4,3,0.5301,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""15"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""0.85""}"
Logistic Regression (L2),4,4,0.6572,"{""model__C"": ""10""}"
Elastic-Net Logistic,4,4,0.6262,"{""model__C"": ""1.0"", ""model__l1_ratio"": ""0.15""}"
Random Forest,4,4,0.507,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
