auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold
0.7958333333333334,0.6139186303892186,0.18964660575395334,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),2,3
0.8729166666666668,0.8683716475095785,0.22742038326997505,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Elastic-Net Logistic,2,4
0.71875,0.4394827586206897,0.18060944657822214,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,2,4
0.7499999999999999,0.6221794871794871,0.17895345389842987,0.7647058823529411,0.6,0.3333333333333333,0.3872983346207417,0.2,1.0,1.0,0.75,XGBoost,2,4
0.7333333333333334,0.5363046757164405,0.20564244057577402,0.6176470588235294,0.6416666666666666,0.5185185185185185,0.2581988897471611,0.7,0.5833333333333334,0.4117647058823529,0.8235294117647058,Random Forest,2,4
0.5916666666666668,0.43868932289648405,0.34078368560186456,0.5882352941176471,0.6208333333333333,0.5,0.2206104745506919,0.7,0.5416666666666666,0.3888888888888889,0.8125,Logistic Regression (L2),2,4
0.325,0.2649303648024858,0.2140258145858673,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),2,4
0.7583333333333333,0.5285560762766646,0.19637315072610328,0.7647058823529411,0.7166666666666667,0.6,0.43333333333333335,0.6,0.8333333333333334,0.6,0.8333333333333334,Elastic-Net Logistic,2,5
0.75,0.5196602119108513,0.17866397893102245,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,2,5
0.6583333333333333,0.45148629964806436,0.22194969654083252,0.6176470588235294,0.6125,0.48,0.2064741604835056,0.6,0.625,0.4,0.7894736842105263,XGBoost,2,5
0.5916666666666667,0.3762847459557985,0.21507554850277397,0.6764705882352942,0.5083333333333333,0.15384615384615385,0.026773977630083295,0.1,0.9166666666666666,0.3333333333333333,0.7096774193548387,Random Forest,2,5
0.6083333333333334,0.37607093379339457,0.23407298564400558,0.6470588235294118,0.5458333333333333,0.3333333333333333,0.09846579518042202,0.3,0.7916666666666666,0.375,0.7307692307692307,Logistic Regression (L2),2,5
0.5708333333333333,0.4321853131933777,0.2115720958447205,0.6764705882352942,0.5083333333333333,0.15384615384615385,0.026773977630083295,0.1,0.9166666666666666,0.3333333333333333,0.7096774193548387,SVM (RBF),2,5
0.864,0.6821146245059287,0.22169840138125832,0.7428571428571429,0.61,0.4,0.28401877872187725,0.3,0.92,0.6,0.7666666666666667,Elastic-Net Logistic,3,1
0.804,0.527536231884058,0.1732973399209736,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,AdaBoost,3,1
0.8480000000000001,0.6051082251082252,0.1758216917514801,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,3,1
0.8360000000000001,0.5634776334776335,0.16972943743593702,0.7428571428571429,0.61,0.4,0.28401877872187725,0.3,0.92,0.6,0.7666666666666667,Random Forest,3,1
0.72,0.5631715506715507,0.214409738665637,0.7142857142857143,0.6799999999999999,0.5454545454545454,0.34262414443209643,0.6,0.76,0.5,0.8260869565217391,Logistic Regression (L2),3,1
0.7600000000000001,0.5885647195941314,0.1790379755166436,0.7428571428571429,0.55,0.18181818181818182,0.2711630722733202,0.1,1.0,1.0,0.7352941176470589,SVM (RBF),3,1
0.725,0.5756400616926932,0.20800029594606476,0.6470588235294118,0.6041666666666667,0.45454545454545453,0.19863803942616506,0.5,0.7083333333333334,0.4166666666666667,0.7727272727272727,Elastic-Net Logistic,3,2
0.71875,0.4438994991936168,0.19257164922011463,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,AdaBoost,3,2
0.6625,0.5031002331002331,0.19776582717895508,0.7058823529411765,0.5875,0.375,0.2091650066335189,0.3,0.875,0.5,0.75,XGBoost,3,2
0.6666666666666666,0.4368964523608486,0.20709551500821655,0.6176470588235294,0.525,0.3157894736842105,0.051639777949432225,0.3,0.75,0.3333333333333333,0.72,Random Forest,3,2
0.7208333333333333,0.6478461634983375,0.23845261070296817,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,Logistic Regression (L2),3,2
0.5333333333333333,0.41798593563299447,0.21104593528884547,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),3,2
0.8770833333333333,0.7504761904761905,0.22337599006918496,0.7941176470588235,0.825,0.72,0.5964809080634605,0.9,0.75,0.6,0.9473684210526315,Elastic-Net Logistic,3,3
0.78125,0.4969230769230769,0.16699895298902814,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,AdaBoost,3,3
0.7500000000000001,0.6045872193773243,0.19349946081638336,0.6764705882352942,0.7125,0.5925925925925926,0.38729833462074165,0.8,0.625,0.47058823529411764,0.8823529411764706,XGBoost,3,3
0.7583333333333333,0.5273015873015873,0.17848299820101388,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,Random Forest,3,3
0.8666666666666667,0.6435225885225886,0.2098653944700802,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Logistic Regression (L2),3,3
0.21666666666666667,0.20856322387889326,0.21643604251728799,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),3,3
0.8729166666666668,0.8683716475095785,0.2261687596793231,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Elastic-Net Logistic,3,4
0.71875,0.4394827586206897,0.18060944657822214,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,3,4
0.7583333333333333,0.6404184704184703,0.1787968873977661,0.7647058823529411,0.6,0.3333333333333333,0.3872983346207417,0.2,1.0,1.0,0.75,XGBoost,3,4
0.6333333333333333,0.3757691184596811,0.2062721001104759,0.6176470588235294,0.5541666666666667,0.38095238095238093,0.10551336327082937,0.4,0.7083333333333334,0.36363636363636365,0.7391304347826086,Random Forest,3,4
0.5791666666666667,0.4158611853832442,0.37626605703906313,0.5588235294117647,0.5708333333333333,0.4444444444444444,0.12909944487358055,0.6,0.5416666666666666,0.35294117647058826,0.7647058823529411,Logistic Regression (L2),3,4
