auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold,n_test,fit_seconds
0.5125000000000001,0.32776780757405943,0.25165212078503074,0.5588235294117647,0.5708333333333333,0.4444444444444444,0.12909944487358055,0.6,0.5416666666666666,0.35294117647058826,0.7647058823529411,Logistic Regression (L2),2,2,34,2.4
0.5458333333333333,0.36607843137254903,0.258389595883194,0.5588235294117647,0.5708333333333333,0.4444444444444444,0.12909944487358055,0.6,0.5416666666666666,0.35294117647058826,0.7647058823529411,Elastic-Net Logistic,2,2,34,2.7
0.4541666666666666,0.2870927350513264,0.24091468051624018,0.5588235294117647,0.4541666666666667,0.21052631578947367,-0.09467292624062575,0.2,0.7083333333333334,0.2222222222222222,0.68,Random Forest,2,2,34,11.57
0.5875,0.3773690476190476,0.22767039418738483,0.6176470588235294,0.5541666666666667,0.38095238095238093,0.10551336327082937,0.4,0.7083333333333334,0.36363636363636365,0.7391304347826086,Extra Trees,2,2,34,9.08
0.5249999999999999,0.3200402774012831,0.20772916702604732,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),2,2,34,8.17
0.475,0.29106185469356827,0.22545449413060045,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,2,2,34,7.65
0.4125,0.26817034127424155,0.2700275480747223,0.47058823529411764,0.47916666666666663,0.35714285714285715,-0.03803628871563654,0.5,0.4583333333333333,0.2777777777777778,0.6875,XGBoost,2,2,34,4.09
0.2833333333333333,0.22530068143740198,0.3053136427911888,0.47058823529411764,0.3625,0.1,-0.275,0.1,0.625,0.1,0.625,LightGBM,2,2,34,3.78
0.5750000000000001,0.354181202257578,0.24684208027862228,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,Logistic Regression (L2),2,3,34,2.2
0.5833333333333334,0.3618152348916106,0.24456753279735816,0.6176470588235294,0.6125,0.48,0.2064741604835056,0.6,0.625,0.4,0.7894736842105263,Elastic-Net Logistic,2,3,34,2.57
0.37916666666666665,0.28125586913086914,0.2380281649790937,0.6764705882352942,0.4791666666666667,0.0,-0.11236664374387369,0.0,0.9583333333333334,0.0,0.696969696969697,Random Forest,2,3,34,11.62
0.675,0.49141225913472,0.21220786520703114,0.6470588235294118,0.6333333333333333,0.5,0.24688535993934707,0.6,0.6666666666666666,0.42857142857142855,0.8,Extra Trees,2,3,34,8.88
0.3958333333333333,0.270743806320182,0.21808248448691678,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),2,3,34,8.06
0.6333333333333333,0.5347440395861448,0.1871662101841642,0.7352941176470589,0.6083333333333333,0.4,0.27874925905782666,0.3,0.9166666666666666,0.6,0.7586206896551724,AdaBoost,2,3,34,7.51
0.33333333333333337,0.27443180142870544,0.3011016249656677,0.6176470588235294,0.4666666666666667,0.13333333333333333,-0.08576900278702358,0.1,0.8333333333333334,0.2,0.6896551724137931,XGBoost,2,3,34,4.15
0.4,0.27873804818370035,0.3143520005164705,0.6176470588235294,0.49583333333333335,0.23529411764705882,-0.00939060283031685,0.2,0.7916666666666666,0.2857142857142857,0.7037037037037037,LightGBM,2,3,34,4.19
