model,imputation,fold,best_inner_auc,best_params
LightGBM,2,3,0.7165,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.7"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""5"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""1.0""}"
Logistic Regression (L2),2,4,0.6378,"{""model__C"": ""5""}"
Elastic-Net Logistic,2,4,0.7988,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,2,4,0.7243,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""10"", ""model__min_samples_leaf"": ""2"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""3""}"
Extra Trees,2,4,0.7111,"{""model__n_estimators"": ""200"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""None""}"
SVM (RBF),2,4,0.5912,"{""model__C"": ""0.1"", ""model__gamma"": ""0.01""}"
AdaBoost,2,4,0.7355,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,2,4,0.7428,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,2,4,0.7377,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""1.0"", ""model__num_leaves"": ""15"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""5"", ""model__max_depth"": ""-1"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),2,5,0.6664,"{""model__C"": ""0.05""}"
Elastic-Net Logistic,2,5,0.8172,"{""model__C"": ""0.1"", ""model__l1_ratio"": ""0.85""}"
Random Forest,2,5,0.6631,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,2,5,0.6913,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),2,5,0.637,"{""model__C"": ""3"", ""model__gamma"": ""0.01""}"
AdaBoost,2,5,0.6972,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,2,5,0.6966,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""3.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,2,5,0.6953,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.03"", ""model__colsample_bytree"": ""1.0""}"
Logistic Regression (L2),3,1,0.6642,"{""model__C"": ""0.01""}"
Elastic-Net Logistic,3,1,0.7873,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,3,1,0.7019,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,3,1,0.6763,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),3,1,0.6037,"{""model__C"": ""0.5"", ""model__gamma"": ""0.01""}"
AdaBoost,3,1,0.7686,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,3,1,0.7171,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,3,1,0.7176,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),3,2,0.6829,"{""model__C"": ""0.001""}"
