auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold,n_test,fit_seconds
0.8480000000000001,0.6051082251082252,0.1758216917514801,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,3,1,35,11.08
0.82,0.573007481648786,0.16515692935594042,0.7428571428571429,0.6699999999999999,0.5263157894736842,0.3514317480027573,0.5,0.84,0.5555555555555556,0.8076923076923077,LightGBM,3,1,35,11.06
0.7208333333333333,0.6478461634983375,0.23414445666770942,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,Logistic Regression (L2),3,2,34,6.99
0.725,0.5756400616926932,0.2080002959460642,0.6470588235294118,0.6041666666666667,0.45454545454545453,0.19863803942616506,0.5,0.7083333333333334,0.4166666666666667,0.7727272727272727,Elastic-Net Logistic,3,2,34,8.26
0.6666666666666666,0.4368964523608486,0.20709551500821655,0.6176470588235294,0.525,0.3157894736842105,0.051639777949432225,0.3,0.75,0.3333333333333333,0.72,Random Forest,3,2,34,19.07
0.7124999999999999,0.5209013209013209,0.1996473169424356,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,Extra Trees,3,2,34,15.68
0.5333333333333333,0.41798593563299447,0.21104593528841534,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),3,2,34,24.67
0.71875,0.4438994991936168,0.19257164922011463,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,AdaBoost,3,2,34,15.79
0.6625,0.5031002331002331,0.19776582717895508,0.7058823529411765,0.5875,0.375,0.2091650066335189,0.3,0.875,0.5,0.75,XGBoost,3,2,34,11.22
0.6875,0.5112234646445173,0.2301330178067571,0.6470588235294118,0.6041666666666667,0.45454545454545453,0.19863803942616506,0.5,0.7083333333333334,0.4166666666666667,0.7727272727272727,LightGBM,3,2,34,11.42
0.8625,0.6405986119144014,0.20989089531921032,0.7941176470588235,0.825,0.72,0.5964809080634605,0.9,0.75,0.6,0.9473684210526315,Logistic Regression (L2),3,3,34,7.16
0.8770833333333333,0.7504761904761905,0.2233379588688354,0.7941176470588235,0.825,0.72,0.5964809080634605,0.9,0.75,0.6,0.9473684210526315,Elastic-Net Logistic,3,3,34,8.29
0.7583333333333333,0.5273015873015873,0.17848299820101388,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,Random Forest,3,3,34,19.13
0.8375,0.6707268170426065,0.16970917925891948,0.6764705882352942,0.6833333333333333,0.56,0.3364764096768239,0.7,0.6666666666666666,0.4666666666666667,0.8421052631578947,Extra Trees,3,3,34,16.48
0.22083333333333333,0.20947231478798417,0.21645266833595198,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),3,3,34,25.45
0.78125,0.4969230769230769,0.16699895298902814,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,AdaBoost,3,3,34,16.13
0.7500000000000001,0.6045872193773243,0.19349946081638336,0.6764705882352942,0.7125,0.5925925925925926,0.38729833462074165,0.8,0.625,0.47058823529411764,0.8823529411764706,XGBoost,3,3,34,11.85
0.7666666666666667,0.6324241505620816,0.18366870278639996,0.7352941176470589,0.7541666666666667,0.64,0.4664786588701423,0.8,0.7083333333333334,0.5333333333333333,0.8947368421052632,LightGBM,3,3,34,12.09
0.5666666666666668,0.40551947395457627,0.3739546058155324,0.5588235294117647,0.5708333333333333,0.4444444444444444,0.12909944487358055,0.6,0.5416666666666666,0.35294117647058826,0.7647058823529411,Logistic Regression (L2),3,4,34,7.04
0.8729166666666668,0.8683716475095785,0.22617071825510854,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Elastic-Net Logistic,3,4,34,8.13
0.6333333333333333,0.3757691184596811,0.2062721001104759,0.6176470588235294,0.5541666666666667,0.38095238095238093,0.10551336327082937,0.4,0.7083333333333334,0.36363636363636365,0.7391304347826086,Random Forest,3,4,34,19.47
0.6666666666666666,0.4829053169053169,0.21679798770076555,0.7058823529411765,0.7041666666666666,0.5833333333333334,0.3780432074071252,0.7,0.7083333333333334,0.5,0.85,Extra Trees,3,4,34,15.34
0.31666666666666665,0.2587209492180702,0.21411904767831047,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),3,4,34,25.21
0.71875,0.4394827586206897,0.18060944657822214,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,3,4,34,15.74
0.7583333333333333,0.6404184704184703,0.1787968873977661,0.7647058823529411,0.6,0.3333333333333333,0.3872983346207417,0.2,1.0,1.0,0.75,XGBoost,3,4,34,11.84
0.675,0.39918308815367637,0.21794312022858936,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,LightGBM,3,4,34,10.59
0.6125,0.3808328385552993,0.23345745821455302,0.6470588235294118,0.5458333333333333,0.3333333333333333,0.09846579518042202,0.3,0.7916666666666666,0.375,0.7307692307692307,Logistic Regression (L2),3,5,34,7.03
0.7583333333333333,0.5285560762766646,0.19637289126261295,0.7647058823529411,0.7166666666666667,0.6,0.43333333333333335,0.6,0.8333333333333334,0.6,0.8333333333333334,Elastic-Net Logistic,3,5,34,8.48
0.5958333333333333,0.39113416377935434,0.21409683498917748,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,Random Forest,3,5,34,19.2
0.7041666666666667,0.45538135938135943,0.20256346479430767,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,Extra Trees,3,5,34,16.35
0.5666666666666667,0.43163402229578696,0.21027148085717107,0.6764705882352942,0.5083333333333333,0.15384615384615385,0.026773977630083295,0.1,0.9166666666666666,0.3333333333333333,0.7096774193548387,SVM (RBF),3,5,34,24.64
0.75,0.5196602119108513,0.17866397893102245,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,3,5,34,15.17
0.6375000000000001,0.4222059966177613,0.22498352825641632,0.5882352941176471,0.5625,0.4166666666666667,0.11572751247156894,0.5,0.625,0.35714285714285715,0.75,XGBoost,3,5,34,11.48
0.6125,0.37344705477834583,0.22896407426648824,0.6470588235294118,0.575,0.4,0.15,0.4,0.75,0.4,0.75,LightGBM,3,5,34,10.59
0.644,0.5150194734634962,0.2436607695881484,0.6285714285714286,0.62,0.48,0.21908902300206642,0.6,0.64,0.4,0.8,Logistic Regression (L2),4,1,35,7.16
0.864,0.6821146245059287,0.22167652317122027,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,Elastic-Net Logistic,4,1,35,7.01
0.8240000000000001,0.5489663552821448,0.16925642961169043,0.7428571428571429,0.61,0.4,0.28401877872187725,0.3,0.92,0.6,0.7666666666666667,Random Forest,4,1,35,19.31
